Enrollment ID,Course Name,Student ID,Enrollment Timestamp,Completion Status
1,Introduction to Data Science,317,2024-08-11 10:43:23,In Progress
2,Mobile Computing,1766,2024-03-05 10:43:23,In Progress
3,Mobile Computing,557,2024-05-27 10:43:23,Completed
4,Introduction to Data Science,789,2023-09-28 10:43:23,In Progress
5,Introduction to Data Science,1531,2023-09-28 10:43:23,In Progress
6,Introduction to Data Science,1489,2024-02-07 10:43:23,In Progress
7,Mobile Computing,688,2024-05-13 10:43:23,In Progress
8,Mobile Computing,349,2023-12-05 10:43:23,In Progress
9,Mobile Computing,1153,2024-06-22 10:43:23,Completed
10,CPP,473,2023-12-31 10:43:23,Completed
11,CPP,798,2024-02-18 10:43:23,In Progress
12,Introduction to Data Science,1158,2024-01-31 10:43:23,Completed
13,CPP,881,2023-11-12 10:43:23,Completed
14,Mobile Computing,1691,2023-09-25 10:43:23,Completed
15,Introduction to Data Science,825,2024-06-26 10:43:23,Completed
16,Mobile Computing,1525,2023-12-22 10:43:23,Completed
17,Mobile Computing,1920,2023-11-14 10:43:23,Completed
18,Introduction to Data Science,721,2024-05-02 10:43:23,Completed
19,CPP,1538,2024-04-08 10:43:23,In Progress
20,Mobile Computing,973,2023-11-27 10:43:23,Completed
21,Introduction to Data Science,502,2024-04-09 10:43:23,In Progress
22,CPP,1684,2024-07-12 10:43:23,Completed
23,CPP,546,2024-06-11 10:43:23,Completed
24,Introduction to Data Science,1888,2023-12-28 10:43:23,In Progress
25,Introduction to Data Science,861,2024-02-02 10:43:23,In Progress
26,CPP,1168,2024-06-12 10:43:23,In Progress
27,Introduction to Data Science,686,2024-08-08 10:43:23,Completed
28,CPP,1138,2024-05-29 10:43:23,In Progress
29,Mobile Computing,1839,2024-05-20 10:43:23,Completed
30,Mobile Computing,1624,2024-02-15 10:43:23,In Progress
31,CPP,821,2024-09-17 10:43:23,Completed
32,CPP,1035,2024-02-20 10:43:23,Completed
33,Mobile Computing,587,2023-10-17 10:43:23,Completed
34,Mobile Computing,405,2023-11-14 10:43:23,Completed
35,CPP,1420,2024-08-02 10:43:23,Completed
36,CPP,1265,2023-10-24 10:43:23,Completed
37,Mobile Computing,1305,2024-07-03 10:43:23,Completed
38,Introduction to Data Science,1343,2024-06-28 10:43:23,Completed
39,Mobile Computing,1995,2023-11-27 10:43:23,Completed
40,Introduction to Data Science,754,2024-07-07 10:43:23,Completed
41,Introduction to Data Science,813,2024-07-07 10:43:23,In Progress
42,CPP,1367,2024-06-15 10:43:23,Completed
43,Mobile Computing,643,2023-11-27 10:43:23,In Progress
44,CPP,130,2023-12-05 10:43:23,In Progress
45,Mobile Computing,1528,2024-03-07 10:43:23,Completed
